City,Country,Lat,Lng,Date,Humidity,Max Temp,Wind Speed,Cloudiness
Margate,AU,-43.03,147.26,3/18/18,52,66.2,28.86,40
Sechura,PE,-5.56,-80.82,3/18/18,66,78.29,11.74,32
Georgetown,GY,6.8,-58.16,3/18/18,51,84.2,6.93,20
Bluff,AU,-23.58,149.07,3/18/18,90,72.44,3.02,24
Vao,EE,59.1,26.19,3/18/18,86,26.72,13.42,0
Bethel,US,60.79,-161.76,3/18/18,100,28.4,8.05,90
Atuona,PF,-9.8,-139.03,3/18/18,98,82.34,19.24,56
Ketchikan,US,55.34,-131.65,3/18/18,75,46.4,11.41,90
Bilma,NE,18.69,12.92,3/18/18,20,67.04,3.91,0
Fairbanks,US,64.84,-147.72,3/18/18,85,28.4,4.36,90
Qaanaaq,GL,77.48,-69.36,3/18/18,98,-17.12,7.05,0
Ancud,CL,-41.87,-73.83,3/18/18,85,56.51,6.93,80
Altamira,BR,-3.2,-52.21,3/18/18,66,89.6,5.82,40
Marienburg,DE,52.12,9.98,3/18/18,39,30.2,17.22,0
Tuatapere,NZ,-46.13,167.69,3/18/18,84,64.34,19.46,76
Ribas do Rio Pardo,BR,-20.45,-53.76,3/18/18,58,87.92,3.69,32
Kaitangata,NZ,-46.28,169.85,3/18/18,70,64.61,11.41,20
Isangel,VU,-19.55,169.27,3/18/18,100,80.36,10.18,68
Zhicheng,CN,35.04,112.59,3/18/18,91,39.14,2.68,92
Lorengau,PG,-2.02,147.27,3/18/18,100,81.62,8.61,12
Kruisfontein,ZA,-34,24.73,3/18/18,92,63.62,10.96,0
Maamba,ZM,-17.36,27.22,3/18/18,88,64.34,2.68,0
Kahului,US,20.89,-156.47,3/18/18,74,78.8,16.11,40
Avarua,CK,-21.21,-159.78,3/18/18,74,84.2,4.7,40
Kalmunai,LK,7.42,81.82,3/18/18,94,76.4,3.58,80
Cidreira,BR,-30.17,-50.22,3/18/18,75,83.24,8.39,12
Gashua,NG,12.87,11.04,3/18/18,20,74.06,7.61,0
Rivadavia,AR,-31.53,-68.59,3/18/18,34,71.54,6.82,0
Longyearbyen,NO,78.22,15.63,3/18/18,66,10.4,21.92,40
Inirida,CO,3.87,-67.92,3/18/18,59,88.28,1.57,24
Hasaki,JP,35.73,140.83,3/18/18,93,44.6,2.24,75
Killybegs,IE,54.63,-8.45,3/18/18,100,36.44,17.22,36
Steinbach,CA,49.53,-96.69,3/18/18,74,33.8,12.75,90
Usinsk,RU,66,57.56,3/18/18,70,-10.37,3.02,68
Flinders,AU,-34.58,150.85,3/18/18,93,60.8,5.82,20
Paamiut,GL,61.99,-49.67,3/18/18,81,35.36,12.19,56
Ostrovnoy,RU,68.05,39.51,3/18/18,86,14.21,13.87,80
Bocanda,CI,7.06,-4.5,3/18/18,92,73.79,7.61,48
Bonavista,CA,48.65,-53.11,3/18/18,90,33.65,29.53,88
Sobreira,PT,41.15,-8.39,3/18/18,76,51.8,3.36,40
Kununurra,AU,-15.77,128.74,3/18/18,100,73.4,7.38,48
Bilibino,RU,68.06,166.44,3/18/18,65,-9.47,4.59,44
Surt,LY,31.21,16.59,3/18/18,90,60.83,13.76,0
Yulara,AU,-25.24,130.99,3/18/18,52,68,5.82,0
Kodiak,US,39.95,-94.76,3/18/18,81,42.8,6.93,90
Talnakh,RU,69.49,88.39,3/18/18,72,-2.63,16.11,76
Lavrentiya,RU,65.58,-170.99,3/18/18,100,22.22,9.62,88
Ayni,TJ,39.39,68.54,3/18/18,73,29.06,2.24,12
Port Keats,AU,-14.25,129.55,3/18/18,100,74.33,7.38,44
Sigli,ID,5.38,95.96,3/18/18,94,78.29,3.02,8
Clyde River,CA,70.47,-68.59,3/18/18,75,-14.81,17.22,1
Sayaxche,GT,16.52,-90.17,3/18/18,41,94.76,3.91,48
Ponta do Sol,BR,-20.63,-46,3/18/18,79,78.11,2.91,0
Luanda,AO,-8.83,13.24,3/18/18,88,78.8,3.36,40
Morgan City,US,29.7,-91.21,3/18/18,78,78.8,14.99,90
Beidao,CN,34.57,105.89,3/18/18,82,35.99,4.47,48
Chokurdakh,RU,70.62,147.9,3/18/18,72,-36.29,3.13,8
Tiksi,RU,71.64,128.87,3/18/18,0,-42.23,2.8,12
Rorvik,NO,64.86,11.24,3/18/18,74,37.4,13.87,75
Grindavik,IS,63.84,-22.43,3/18/18,100,44.6,14.99,90
Richards Bay,ZA,-28.77,32.06,3/18/18,82,69.11,7.05,8
Salitral,CR,9.79,-84.12,3/18/18,39,86,16.11,75
Airai,TL,-8.93,125.41,3/18/18,91,67.49,1.12,12
Whitehorse,CA,60.72,-135.06,3/18/18,69,33.8,6.93,75
Ilesha,NG,7.14,5.26,3/18/18,72,80.18,8.28,8
Khartoum,SD,15.59,32.54,3/18/18,11,80.6,8.05,0
Cabo San Lucas,MX,22.89,-109.91,3/18/18,34,82.4,9.17,5
Ribeira Grande,PT,38.52,-28.7,3/18/18,97,62.81,10.07,20
Port Elizabeth,US,39.31,-74.98,3/18/18,25,51.8,9.17,1
Sao Filipe,CV,14.9,-24.5,3/18/18,93,71.36,17.45,12
Katangli,RU,51.71,143.23,3/18/18,94,11.87,20.02,48
Kamaishi,JP,39.28,141.86,3/18/18,71,43.28,7.83,92
Joshimath,IN,30.57,79.57,3/18/18,87,-1.1,1.34,8
Shiyan,CN,32.65,110.78,3/18/18,100,40.58,2.35,92
Xichang,CN,27.88,102.25,3/18/18,78,35.72,1.68,0
Alyangula,AU,-13.85,136.42,3/18/18,100,81.44,8.61,12
Jalingo,NG,9.93,13.08,3/18/18,37,68.03,3.8,0
Tra Vinh,VN,9.93,106.35,3/18/18,88,78.47,8.16,88
Tiznit,MA,29.7,-9.73,3/18/18,94,59.84,8.16,48
Longhua,CN,29.21,106.21,3/18/18,93,53.6,6.71,90
Laguna,MX,27.52,-110.01,3/18/18,27,77,6.93,75
Heihe,RU,50.24,127.51,3/18/18,35,8.6,13.42,0
Goundam,ML,16.42,-3.66,3/18/18,24,81.44,8.95,24
Rosarito,CO,4.91,-75.23,3/18/18,61,84.2,4.7,40
Bira,RU,49,132.47,3/18/18,46,9.8,10.51,12
Loviisa,FI,60.46,26.23,3/18/18,78,32,13.87,90
Rio Grande,BR,-32.03,-52.1,3/18/18,70,86,6.93,90
Rocha,UY,-34.48,-54.34,3/18/18,97,71.09,14.76,80
Naryan-Mar,RU,67.67,53.09,3/18/18,63,-13.79,2.8,48
Aberdeen,US,45.47,-98.49,3/18/18,100,35.6,3.36,90
Sisimiut,GL,66.94,-53.67,3/18/18,91,11.78,2.13,8
Yelizovo,RU,53.19,158.38,3/18/18,65,8.6,6.71,8
Ganzhou,CN,25.86,114.93,3/18/18,93,65.51,1.9,92
Pevek,RU,69.7,170.27,3/18/18,100,-19.73,8.95,24
Sattahip,TH,12.67,100.9,3/18/18,83,78.8,2.24,20
East London,ZA,-33.02,27.91,3/18/18,93,74.42,17.56,0
Bonthe,SL,7.53,-12.5,3/18/18,82,80.36,5.14,48
Ossora,RU,59.24,163.07,3/18/18,84,2.78,15.1,12
Mamlyutka,KZ,54.94,68.54,3/18/18,90,33.74,22.03,80
San Rafael,AR,-34.61,-68.33,3/18/18,8,78.38,1.34,0
Zhigansk,RU,66.77,123.37,3/18/18,44,-27.83,2.35,0
Kotovo,RU,50.32,44.8,3/18/18,82,7.82,10.85,56
Kibre Mengist,ET,5.87,38.99,3/18/18,83,58.04,2.68,92
Kedrovyy,RU,56.17,91.82,3/18/18,85,17.6,2.57,0
Zacapu,MX,19.82,-101.79,3/18/18,27,78.8,11.41,44
Mizdah,LY,31.45,12.98,3/18/18,27,60.11,10.4,0
Rock Sound,BS,24.9,-76.2,3/18/18,100,74.69,6.71,0
Suntar,RU,62.16,117.65,3/18/18,62,-7.67,6.38,36
Chuy,UY,-33.69,-53.46,3/18/18,100,72.8,21.7,76
Honiara,SB,-9.43,159.96,3/18/18,94,73.4,1.45,75
Bagdarin,RU,54.44,113.59,3/18/18,59,-0.83,2.24,0
Faanui,PF,-16.48,-151.75,3/18/18,100,82.43,14.76,76
Half Moon Bay,US,37.46,-122.43,3/18/18,76,57.2,6.93,1
Dhupgari,IN,26.59,89.01,3/18/18,64,57.86,5.26,0
Kidal,ML,18.44,1.41,3/18/18,18,73.25,9.17,8
Nantucket,US,41.28,-70.1,3/18/18,100,33.8,14.99,1
Palana,RU,59.08,159.95,3/18/18,73,5.48,2.68,24
Ordzhonikidze,UA,44.96,35.36,3/18/18,93,47.69,3.69,48
Belle Fourche,US,44.67,-103.85,3/18/18,100,30.2,5.82,92
Tabuk,PH,17.41,121.44,3/18/18,97,64.34,1.68,56
Boca do Acre,BR,-8.76,-67.39,3/18/18,82,83.51,2.57,8
Nome,US,30.04,-94.42,3/18/18,51,84.2,8.61,1
Luxeuil-les-Bains,FR,47.82,6.38,3/18/18,96,32,3.36,90
Pilar,AR,-34.46,-58.91,3/18/18,46,73.4,14.99,20
Adrar,DZ,27.87,-0.29,3/18/18,9,71.6,9.17,0
Aklavik,CA,68.22,-135.01,3/18/18,83,-4.01,9.17,75
Souillac,FR,45.6,-0.6,3/18/18,81,42.8,5.82,36
Marawi,PH,8,124.29,3/18/18,92,63.71,2.57,20
Sao Gabriel da Cachoeira,BR,-0.13,-67.09,3/18/18,63,91.4,3.36,20
Innisfail,CA,52.02,-113.95,3/18/18,86,30.2,6.93,90
Anadyr,RU,64.73,177.51,3/18/18,77,3.2,6.71,90
Stephenville,US,32.22,-98.2,3/18/18,54,87.8,4.7,1
Gao,ML,16.28,-0.04,3/18/18,22,84.68,10.63,8
Atar,MR,20.52,-13.05,3/18/18,19,72.44,9.4,20
Necochea,AR,-38.55,-58.74,3/18/18,94,60.02,14.32,92
Carnarvon,ZA,-30.97,22.13,3/18/18,17,52.1,5.7,0
Nyborg,NO,70.18,28.61,3/18/18,85,17.6,10.29,0
Ouadda,CF,8.07,22.4,3/18/18,42,81.71,7.61,88
La Ronge,CA,55.1,-105.3,3/18/18,51,14,10.29,75
Provideniya,RU,64.42,-173.23,3/18/18,100,24.11,11.18,0
Pacific Grove,US,36.62,-121.92,3/18/18,62,57.2,8.05,20
Arraial do Cabo,BR,-22.97,-42.02,3/18/18,74,86,17.22,0
Unity,CA,52.44,-109.15,3/18/18,100,27.44,4.81,76
Komsomolskiy,RU,67.55,63.78,3/18/18,74,-11.63,11.18,44
Abu Samrah,SY,35.3,37.18,3/18/18,42,58.58,9.84,76
Hami,CN,42.84,93.51,3/18/18,81,40.13,10.18,92
Katsuura,JP,33.93,134.5,3/18/18,93,57.2,8.05,75
Never,RU,53.98,124.16,3/18/18,57,1.88,4.7,0
Yar-Sale,RU,66.83,70.83,3/18/18,76,-7.4,7.05,20
Thinadhoo,MV,0.53,72.93,3/18/18,97,85.49,8.16,88
Fernie,CA,49.5,-115.06,3/18/18,59,41,8.05,90
Port Macquarie,AU,-31.43,152.91,3/18/18,93,66.2,2.24,0
Banyo,CM,6.75,11.81,3/18/18,20,82.16,9.4,36
Padang,ID,-0.92,100.36,3/18/18,100,77.66,1.45,36
Vestmanna,FO,62.16,-7.17,3/18/18,99,39.2,10.29,80
Beringovskiy,RU,63.05,179.32,3/18/18,99,11.78,21.03,76
Dhidhdhoo,MV,6.88,73.1,3/18/18,100,83.69,5.59,56
Salta,AR,-24.79,-65.41,3/18/18,65,84.2,14.99,75
Jalu,LY,29.03,21.55,3/18/18,37,63.08,9.73,0
Khatanga,RU,71.98,102.47,3/18/18,74,-11.27,15.99,56
Luderitz,NA,-26.65,15.16,3/18/18,87,60.8,16.11,0
Pisco,PE,-13.71,-76.2,3/18/18,65,77,25.28,0
Guilin,CN,25.28,110.29,3/18/18,93,55.4,13.42,75
Byron Bay,AU,-28.65,153.62,3/18/18,100,71.6,3.36,44
Altagracia de Orituco,VE,9.86,-66.38,3/18/18,27,93.59,13.65,0
Gizo,IL,31.8,34.94,3/18/18,37,69.8,4.7,0
Maraba,BR,-5.35,-49.1,3/18/18,66,89.6,2.24,0
Kemin,KG,42.79,75.7,3/18/18,75,26.09,3.13,0
Khandyga,RU,62.65,135.58,3/18/18,56,-19.55,2.68,56
Nizwa,OM,22.93,57.53,3/18/18,38,55.79,2.8,0
Yerbogachen,RU,61.28,108.01,3/18/18,90,22.04,7.83,92
Ponca City,US,36.73,-97.07,3/18/18,44,60.8,10.29,90
Lorain,US,41.47,-82.18,3/18/18,37,53.6,13.87,5
Waipawa,NZ,-39.94,176.59,3/18/18,77,62.54,7.27,36
Constitucion,MX,23.99,-104.67,3/18/18,9,75.2,20.8,75
Viedma,AR,-40.81,-62.99,3/18/18,34,68.21,14.32,0
Palo Alto,US,37.44,-122.16,3/18/18,54,57.2,5.82,90
Srednekolymsk,RU,67.46,153.71,3/18/18,56,-19.1,6.38,56
Bremerton,US,38.4,-75.51,3/18/18,27,53.6,8.05,1
Vostok,RU,46.45,135.83,3/18/18,54,8.72,9.62,56
Leningradskiy,RU,69.38,178.42,3/18/18,93,-7.4,4.59,68
Paoua,CF,7.24,16.43,3/18/18,54,80.54,8.72,12
Maniitsoq,GL,65.42,-52.9,3/18/18,61,31.76,5.14,0
Golden,CA,51.3,-116.96,3/18/18,82,41,2.01,90
Staryy Nadym,RU,65.61,72.68,3/18/18,61,-7.22,3.02,36
Quatre Cocos,MU,-20.21,57.76,3/18/18,88,80.6,14.99,40
Oistins,BB,13.07,-59.53,3/18/18,69,80.6,11.41,40
Kosh-Agach,RU,49.99,88.66,3/18/18,93,19.61,2.8,92
Dauphin,CA,51.15,-100.04,3/18/18,85,19.4,6.93,90
Hithadhoo,MV,-0.6,73.08,3/18/18,98,85.22,8.61,88
Spremberg,DE,51.57,14.37,3/18/18,53,21.2,16.11,0
Junin,PE,-16.45,-71.58,3/18/18,55,62.6,13.87,75
Charagua,BO,-19.79,-63.2,3/18/18,62,87.8,17.9,75
Tabou,CI,4.42,-7.36,3/18/18,99,81.98,11.97,32
Touros,BR,-5.2,-35.46,3/18/18,79,82.07,11.18,44
Znamensk,RU,54.62,21.23,3/18/18,85,23,5.93,0
Santa Isabel do Rio Negro,BR,-0.41,-65.02,3/18/18,51,91.97,8.16,8
Zapolyarnyy,RU,69.43,30.82,3/18/18,78,17.6,4.7,40
Wick,GB,51.45,-2.43,3/18/18,74,30.2,21.92,75
Aljezur,PT,37.31,-8.8,3/18/18,100,55.88,12.86,36
Luorong,CN,24.41,109.6,3/18/18,99,64.97,2.68,92
Shchelkun,RU,56.3,60.95,3/18/18,100,28.4,15.66,90
Trinidad,UY,-33.52,-56.9,3/18/18,88,66.2,11.41,75
Tomatlan,MX,19.93,-105.25,3/18/18,48,87.2,5.59,8
Sumbe,AO,-11.2,13.84,3/18/18,100,77.66,2.8,76
Le Port,FR,42.87,1.37,3/18/18,78,24.92,2.35,8
Jilib,SO,0.49,42.79,3/18/18,79,79.73,11.74,0
Bogande,BF,12.97,-0.14,3/18/18,43,81.44,4.59,76
Mandera,ET,3.94,41.86,3/18/18,30,92.96,12.75,36
Tumbi,NG,7.5,4.3,3/18/18,69,82.4,11.41,20
Havre-Saint-Pierre,CA,50.23,-63.6,3/18/18,79,28.4,20.8,40
Totness,US,33.74,-80.8,3/18/18,49,75.2,6.93,20
Concepcion del Oro,MX,24.63,-101.42,3/18/18,21,73.61,5.93,0
Mnogovershinnyy,RU,53.94,139.92,3/18/18,58,2.06,8.72,0
Freeport,BS,26.54,-78.7,3/18/18,65,78.8,11.41,0
Lubao,PH,14.94,120.6,3/18/18,78,77,1.12,75
Jian,IN,25.65,87.89,3/18/18,49,61.73,3.13,0
Hornostayivka,UA,47.01,33.73,3/18/18,100,31.4,17.78,92
Barra do Garcas,BR,-15.89,-52.26,3/18/18,77,84.32,2.91,12
Gerardmer,FR,48.07,6.88,3/18/18,96,32,3.36,90
Anloga,GH,5.79,0.9,3/18/18,83,82.4,10.29,20
Saldanha,PT,41.42,-6.55,3/18/18,77,39.68,7.94,8
Isola del Liri,IT,41.68,13.57,3/18/18,100,45.8,3.69,92
Najran,SA,17.54,44.22,3/18/18,20,73.4,5.7,0
Noumea,NC,-22.28,166.46,3/18/18,69,78.8,3.36,0
Severo-Kurilsk,RU,50.68,156.12,3/18/18,100,23.03,6.93,0
Toktogul,KG,41.87,72.95,3/18/18,73,19.34,1.57,64
Namibe,AO,-15.19,12.15,3/18/18,100,77.21,8.72,76
Ojinaga,US,29.56,-104.41,3/18/18,14,79.19,11.74,0
Gangapur,IN,19.7,75.01,3/18/18,51,79.37,3.8,92
Mlonggo,ID,-6.53,110.7,3/18/18,100,72.62,4.14,8
Nanortalik,GL,60.14,-45.24,3/18/18,88,34.37,43.84,36
Westport,IE,53.8,-9.52,3/18/18,85,32,9.17,75
Inhambane,MZ,-23.87,35.38,3/18/18,92,77.57,12.75,12
Valdivia,CL,-39.81,-73.25,3/18/18,55,60.8,3.36,75
Tecolutla,MX,17.31,-98.74,3/18/18,22,84.41,2.13,76
Aykhal,RU,65.95,111.51,3/18/18,72,-3.35,9.84,88
Iqaluit,CA,63.75,-68.52,3/18/18,78,15.8,2.24,75
Ucluelet,CA,48.94,-125.55,3/18/18,76,48.2,9.17,40
Kosino,RU,58.41,51.28,3/18/18,61,-7.67,8.5,0
Faya,SA,18.39,42.45,3/18/18,54,62.6,9.17,0
Morondava,MG,-20.3,44.28,3/18/18,98,78.74,3.69,76
Ballina,IE,54.11,-9.15,3/18/18,81,32,9.17,75
Alekseyevsk,RU,57.84,108.35,3/18/18,81,9.44,5.26,20
Fukue,JP,35.03,136.69,3/18/18,87,51.8,2.24,75
Mosquera,CO,4.71,-74.23,3/18/18,93,55.4,5.82,75
Egvekinot,RU,66.32,-179.17,3/18/18,75,-12.44,4.92,64
Sorland,NO,67.67,12.69,3/18/18,100,32,32.21,75
Kahuta,PK,33.59,73.39,3/18/18,63,60.8,4.03,0
Hambantota,LK,6.12,81.12,3/18/18,100,81.44,11.63,12
Tilichiki,RU,60.47,166.1,3/18/18,74,-0.02,3.36,36
Samarai,PG,-10.62,150.67,3/18/18,100,77.3,5.26,92
Zima,RU,53.93,102.05,3/18/18,73,18.08,4.59,0
Esperance,TT,10.24,-61.45,3/18/18,51,86,13.87,20
Palauig,PH,15.44,119.9,3/18/18,100,71.81,4.14,8
Kaoma,ZM,-14.8,24.8,3/18/18,69,71.9,7.16,36
Pampa,US,35.54,-100.96,3/18/18,35,71.6,19.46,1
Kudahuvadhoo,MV,2.67,72.89,3/18/18,99,84.68,9.62,0
Miraflores,CO,5.2,-73.14,3/18/18,93,57.68,2.01,92
Diffa,NE,13.32,12.61,3/18/18,18,72.44,7.38,0
Laramie,US,41.31,-105.59,3/18/18,80,42.8,5.82,90
Amahai,ID,-3.31,129,3/18/18,100,80.9,4.36,36
Elban,RU,50.1,136.51,3/18/18,65,14.84,16.89,80
Horsham,AU,-36.71,142.2,3/18/18,86,54.08,10.96,8
Verkhnedneprovskiy,RU,54.98,33.35,3/18/18,72,12.41,10.96,24
Nador,MA,35.17,-2.93,3/18/18,72,60.8,17.22,75
North Ridgeville,US,41.39,-82.02,3/18/18,37,53.6,13.87,5
Canto do Buriti,BR,-8.11,-42.94,3/18/18,72,80,3.36,44
Ukiah,US,39.15,-123.21,3/18/18,50,55.4,10.29,1
Itarema,BR,-2.92,-39.92,3/18/18,77,81.17,8.61,20
Geraldton,CA,49.72,-86.95,3/18/18,26,17.6,9.17,40
Nuevo Progreso,US,26.05,-97.95,3/18/18,52,91.4,6.93,1
Omboue,GA,-1.57,9.26,3/18/18,100,82.52,6.93,80
Coquimbo,CL,-29.95,-71.34,3/18/18,68,66.2,11.41,0
Katherine,AU,-14.47,132.26,3/18/18,88,77,1.12,56
Anito,PH,12.45,125.29,3/18/18,100,80.18,9.28,44
Kavieng,PG,-2.57,150.8,3/18/18,100,82.25,13.98,88
Simdega,IN,22.61,84.51,3/18/18,40,61.64,6.71,0
Hirara,JP,24.8,125.28,3/18/18,100,71.72,10.07,92
Kasane,BW,-17.8,25.16,3/18/18,74,69.38,4.59,12
Hualmay,PE,-11.1,-77.61,3/18/18,64,76.04,4.14,0
Berlevag,NO,70.86,29.09,3/18/18,79,24.8,10.29,75
Saint-Denis,FR,48.94,2.36,3/18/18,92,32,8.05,90
Tuy Hoa,VN,13.08,109.3,3/18/18,100,73.88,1.9,92
Yanam,IN,16.73,82.22,3/18/18,82,70.55,3.91,8
Riyadh,SA,24.63,46.72,3/18/18,14,68,3.36,0
Port Blair,IN,11.67,92.75,3/18/18,100,82.7,9.4,0
Kabanjahe,ID,3.1,98.49,3/18/18,100,67.49,1.68,76
Araguaina,BR,-7.19,-48.21,3/18/18,58,87.29,5.26,12
Maceio,BR,-9.67,-35.74,3/18/18,69,80.6,8.05,0
Helong,CN,25.94,116.13,3/18/18,96,62.09,3.13,68
Nampula,MZ,-15.12,39.26,3/18/18,78,78.8,5.37,40
